link_dir, tx_beam, rx_beam, mcs, tx_mask22, tx_mask23, tx_mask24, rx_mask22, rx_mask23, rx_mask24, tx_gain_idx, rx_rf_gain_idx, rx_if_gain_idx, stf_snr, post_snr, rssi, rssi std, tx temp, rx temp
1to2, 1, 35, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 2, 8, 23, 17, -14, 0, 50 , 54 
1to2, 1, 36, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 1, 9, 24, 19, -12, 0, 50 , 54 
1to2, 1, 37, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 2, 5, 24, 18, -14, 0, 50 , 54 
1to2, 1, 38, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 3, 8, 17, 9, -15, 0, 50 , 54 
1to2, 1, 39, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 3, 7, 18, 11, -15, 0, 50 , 54 
1to2, 1, 40, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 2, 8, 22, 18, -14, 0, 50 , 54 
1to2, 1, 41, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 3, 5, 18, 15, -15, 0, 50 , 54 
1to2, 1, 42, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 3, 5, 19, 13, -13, 0, 50 , 54 
1to2, 1, 43, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 3, 7, 18, 15, -14, 0, 50 , 54 
1to2, 1, 44, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 4, 10, 9, 7, -15, 0, 50 , 54 
1to2, 1, 45, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 3, 10, 14, 11, -15, 0, 50 , 54 
1to2, 1, 46, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 4, 8, 11, 9, -14, 0, 50 , 54 
1to2, 1, 47, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 3, 10, 15, 8, -13, 0, 50 , 54 
1to2, 1, 48, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 3, 8, 16, 13, -15, 0, 50 , 54 
1to2, 1, 49, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 3, 9, 14, 11, -18, 0, 50 , 54 
1to2, 1, 50, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 4, 8, 12, 10, -11, 0, 50 , 54 
1to2, 1, 51, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 3, 10, 14, 9, -14, 0, 50 , 54 
1to2, 1, 52, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 3, 9, 14, 9, -17, 0, 50 , 54 
1to2, 1, 53, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 3, 9, 15, 10, -15, 0, 50 , 54 
